id,sentiment,kfold,rf_svd_pred
3781_7,1,0,0.6
3287_1,0,0,0.52
11007_10,1,0,0.69
3663_10,1,0,0.75
7170_2,0,0,0.23
7804_4,0,0,0.36
4353_4,0,0,0.5
10899_3,0,0,0.55
4289_3,0,0,0.31
810_10,1,0,0.62
11585_10,1,0,0.2
10063_9,1,0,0.78
211_9,1,0,0.57
3097_1,0,0,0.21
10721_9,1,0,0.56
408_10,1,0,0.51
5179_4,0,0,0.2
10511_7,1,0,0.56
4107_4,0,0,0.46
7492_7,1,0,0.61
3124_3,0,0,0.72
2227_1,0,0,0.56
341_4,0,0,0.31
12012_2,0,0,0.35
1368_10,1,0,0.66
5288_7,1,0,0.37
3586_4,0,0,0.54
10004_3,0,0,0.36
11304_4,0,0,0.47
11065_8,1,0,0.59
8107_8,1,0,0.7
9955_1,0,0,0.34
9042_4,0,0,0.53
1699_10,1,0,0.59
1612_10,1,0,0.75
4673_1,0,0,0.48
5347_2,0,0,0.41
4291_10,1,0,0.7
9127_7,1,0,0.53
10265_2,0,0,0.28
1613_2,0,0,0.42
5801_1,0,0,0.38
12303_1,0,0,0.17
7149_10,1,0,0.69
11550_7,1,0,0.52
8850_8,1,0,0.73
11525_8,1,0,0.68
2464_4,0,0,0.3
2312_9,1,0,0.58
12008_8,1,0,0.73
1840_1,0,0,0.26
5169_7,1,0,0.6
7720_4,0,0,0.57
5008_10,1,0,0.73
1444_4,0,0,0.46
9676_1,0,0,0.4
7422_3,0,0,0.41
12207_8,1,0,0.71
211_4,0,0,0.7
4234_7,1,0,0.52
5933_2,0,0,0.28
8470_2,0,0,0.2
1_1,0,0,0.54
2532_4,0,0,0.5
5728_10,1,0,0.38
9389_4,0,0,0.34
9923_2,0,0,0.16
8383_1,0,0,0.17
10947_1,0,0,0.42
6656_2,0,0,0.54
6698_10,1,0,0.68
10659_2,0,0,0.42
314_10,1,0,0.62
11932_4,0,0,0.45
3484_10,1,0,0.86
4095_1,0,0,0.56
599_4,0,0,0.3
7263_4,0,0,0.61
10722_4,0,0,0.38
3055_9,1,0,0.79
12241_10,1,0,0.68
7211_10,1,0,0.79
8234_1,0,0,0.27
259_3,0,0,0.41
12120_10,1,0,0.55
4668_1,0,0,0.58
7223_10,1,0,0.77
6143_7,1,0,0.7
5167_7,1,0,0.41
2152_1,0,0,0.22
11595_4,0,0,0.47
3782_4,0,0,0.58
176_4,0,0,0.18
1835_2,0,0,0.34
3825_3,0,0,0.52
4774_10,1,0,0.45
9184_1,0,0,0.21
2265_1,0,0,0.36
5836_8,1,0,0.6
2258_7,1,0,0.46
9268_3,0,0,0.5
121_10,1,0,0.57
4889_3,0,0,0.4
2696_3,0,0,0.32
6587_9,1,0,0.68
8564_2,0,0,0.43
10625_7,1,0,0.46
436_10,1,0,0.69
1946_2,0,0,0.6
2582_8,1,0,0.5
1727_10,1,0,0.79
11822_4,0,0,0.35
5699_1,0,0,0.34
4652_9,1,0,0.59
5686_9,1,0,0.72
9427_10,1,0,0.41
8231_10,1,0,0.51
4420_8,1,0,0.61
6719_2,0,0,0.59
11529_7,1,0,0.8
9741_1,0,0,0.37
4643_4,0,0,0.49
5358_1,0,0,0.26
3733_10,1,0,0.64
7361_3,0,0,0.44
4369_9,1,0,0.48
8854_10,1,0,0.79
4198_1,0,0,0.52
7639_8,1,0,0.66
193_7,1,0,0.83
815_2,0,0,0.37
7092_8,1,0,0.63
9827_10,1,0,0.6
12394_4,0,0,0.13
4329_7,1,0,0.6
7100_3,0,0,0.47
11611_3,0,0,0.57
6625_7,1,0,0.62
1958_10,1,0,0.54
4209_3,0,0,0.25
8615_2,0,0,0.35
2362_9,1,0,0.73
5173_9,1,0,0.63
8971_3,0,0,0.41
9840_10,1,0,0.64
11191_3,0,0,0.36
11508_1,0,0,0.26
11634_1,0,0,0.15
11221_4,0,0,0.58
7197_2,0,0,0.56
8478_8,1,0,0.68
10384_10,1,0,0.65
5887_7,1,0,0.66
10087_4,0,0,0.36
9639_4,0,0,0.73
11237_8,1,0,0.69
11759_3,0,0,0.37
11835_8,1,0,0.61
1655_2,0,0,0.4
4498_3,0,0,0.3
2820_7,1,0,0.53
1675_9,1,0,0.73
7272_4,0,0,0.65
5744_2,0,0,0.2
11568_4,0,0,0.51
4303_10,1,0,0.8
3717_3,0,0,0.55
137_4,0,0,0.2
10481_8,1,0,0.48
544_4,0,0,0.23
4536_7,1,0,0.61
4893_1,0,0,0.51
8270_1,0,0,0.16
8194_9,1,0,0.57
11329_9,1,0,0.68
3026_1,0,0,0.6
9160_1,0,0,0.25
6159_7,1,0,0.6
9035_4,0,0,0.28
917_10,1,0,0.73
10986_1,0,0,0.34
9287_1,0,0,0.19
11195_1,0,0,0.23
5408_7,1,0,0.81
1584_9,1,0,0.75
10179_1,0,0,0.18
2160_1,0,0,0.18
7698_10,1,0,0.64
7418_8,1,0,0.7
4679_10,1,0,0.86
4259_1,0,0,0.18
9495_1,0,0,0.33
10372_3,0,0,0.53
4781_1,0,0,0.21
650_1,0,0,0.22
4125_2,0,0,0.38
52_1,0,0,0.38
7053_7,1,0,0.6
8334_8,1,0,0.77
2256_8,1,0,0.68
9602_3,0,0,0.38
8971_9,1,0,0.59
6891_9,1,0,0.65
27_10,1,0,0.67
4429_1,0,0,0.43
9658_3,0,0,0.33
6748_8,1,0,0.61
6088_10,1,0,0.47
494_9,1,0,0.65
4440_7,1,0,0.58
10867_1,0,0,0.24
1207_10,1,0,0.57
5384_2,0,0,0.35
11892_9,1,0,0.68
8591_1,0,0,0.26
9228_10,1,0,0.73
5178_10,1,0,0.76
10112_7,1,0,0.39
10532_8,1,0,0.63
6589_10,1,0,0.6
1944_1,0,0,0.43
6881_9,1,0,0.59
237_1,0,0,0.62
837_1,0,0,0.61
2388_10,1,0,0.61
9205_7,1,0,0.63
8011_1,0,0,0.35
10113_1,0,0,0.21
8852_3,0,0,0.19
5192_7,1,0,0.56
10251_10,1,0,0.5
3629_1,0,0,0.33
1713_1,0,0,0.33
4930_7,1,0,0.59
12232_1,0,0,0.2
10154_8,1,0,0.72
11107_10,1,0,0.69
4172_4,0,0,0.37
11415_8,1,0,0.59
6376_10,1,0,0.64
1819_2,0,0,0.27
8176_3,0,0,0.46
1582_8,1,0,0.71
608_3,0,0,0.3
6307_8,1,0,0.49
2447_10,1,0,0.7
3327_10,1,0,0.75
3401_8,1,0,0.65
2088_8,1,0,0.86
4959_7,1,0,0.63
10508_10,1,0,0.55
10941_1,0,0,0.32
11079_8,1,0,0.78
10116_1,0,0,0.33
1137_4,0,0,0.5
5569_4,0,0,0.39
1100_3,0,0,0.63
4045_1,0,0,0.29
7265_1,0,0,0.47
3627_8,1,0,0.7
5630_1,0,0,0.33
9490_1,0,0,0.12
1226_1,0,0,0.15
9590_10,1,0,0.68
8568_7,1,0,0.54
5760_8,1,0,0.35
9864_1,0,0,0.45
9121_10,1,0,0.56
8139_1,0,0,0.32
11890_7,1,0,0.29
135_4,0,0,0.33
7536_1,0,0,0.37
2510_10,1,0,0.64
7689_4,0,0,0.46
2018_9,1,0,0.81
5928_4,0,0,0.49
11423_1,0,0,0.6
12249_2,0,0,0.43
11272_1,0,0,0.12
3693_1,0,0,0.31
12411_4,0,0,0.4
10444_9,1,0,0.63
9347_7,1,0,0.61
3537_1,0,0,0.35
11135_9,1,0,0.66
5286_10,1,0,0.38
7911_10,1,0,0.68
3114_9,1,0,0.54
8285_1,0,0,0.2
12344_3,0,0,0.54
3789_3,0,0,0.51
2511_4,0,0,0.32
10637_10,1,0,0.75
9692_2,0,0,0.58
7670_1,0,0,0.15
5423_4,0,0,0.26
5557_9,1,0,0.51
7355_4,0,0,0.17
5782_10,1,0,0.56
1484_10,1,0,0.47
9709_1,0,0,0.16
5473_2,0,0,0.46
12440_7,1,0,0.54
1474_4,0,0,0.61
146_2,0,0,0.42
9020_7,1,0,0.64
11910_1,0,0,0.15
3655_7,1,0,0.62
6970_8,1,0,0.53
12294_8,1,0,0.43
9608_10,1,0,0.74
8389_8,1,0,0.58
12143_8,1,0,0.67
10992_1,0,0,0.25
10831_7,1,0,0.61
1002_7,1,0,0.44
1431_10,1,0,0.67
3700_2,0,0,0.31
4410_4,0,0,0.6
11230_1,0,0,0.46
11737_4,0,0,0.28
1744_3,0,0,0.51
3113_9,1,0,0.57
8555_9,1,0,0.68
6162_1,0,0,0.22
12321_4,0,0,0.32
4263_8,1,0,0.62
305_8,1,0,0.77
11912_2,0,0,0.33
9915_8,1,0,0.44
184_2,0,0,0.69
8813_1,0,0,0.35
6749_2,0,0,0.15
1104_1,0,0,0.2
2881_1,0,0,0.48
899_1,0,0,0.67
9853_8,1,0,0.58
10598_8,1,0,0.66
9904_4,0,0,0.45
2812_8,1,0,0.69
4129_10,1,0,0.66
11886_10,1,0,0.68
8275_10,1,0,0.47
4256_8,1,0,0.82
3440_8,1,0,0.55
7722_10,1,0,0.8
4684_8,1,0,0.59
10156_1,0,0,0.33
68_2,0,0,0.36
6865_7,1,0,0.58
8629_1,0,0,0.37
9734_4,0,0,0.26
1139_1,0,0,0.4
4990_1,0,0,0.2
9090_9,1,0,0.72
5845_7,1,0,0.81
5453_2,0,0,0.25
5432_2,0,0,0.41
8794_9,1,0,0.67
8492_9,1,0,0.46
9258_3,0,0,0.42
9037_8,1,0,0.68
10536_4,0,0,0.56
5407_1,0,0,0.24
7409_2,0,0,0.32
1536_3,0,0,0.23
6259_3,0,0,0.42
4312_10,1,0,0.86
1783_8,1,0,0.8
1287_3,0,0,0.26
7202_8,1,0,0.61
9637_2,0,0,0.32
8543_3,0,0,0.19
10340_9,1,0,0.69
8446_1,0,0,0.23
12463_8,1,0,0.86
2162_10,1,0,0.73
1369_8,1,0,0.76
9679_2,0,0,0.25
2628_3,0,0,0.45
1401_3,0,0,0.24
9292_3,0,0,0.52
4151_1,0,0,0.4
6897_10,1,0,0.67
5313_4,0,0,0.15
5632_1,0,0,0.26
2131_9,1,0,0.77
519_1,0,0,0.28
2672_4,0,0,0.29
103_1,0,0,0.17
10852_1,0,0,0.37
10308_1,0,0,0.27
315_10,1,0,0.77
12404_1,0,0,0.64
19_10,1,0,0.6
7583_2,0,0,0.23
